,cuid,name,curr_plans,talktime,data,sms,Broadband,speed,plan_satisfaction,date_of_pur,ph_no,email_Id,income,door_no,street,city,zipcode,state,area,contact_preference
59,800386,,1299,,20,,150,100,6,2019-10-02 10:11:01,8764354356,,3.5,,,,,,,WhatsApp
60,892986,,699,,12,,50,30,6,2006-09-11 15:23:58,6974639879,,5.5,,,,,,,call
61,674301,,1299,,20,,150,100,5,2012-05-20 19:06:10,3897935799,,7.5,,,,,,,WhatsApp
62,187083,,699,,12,,50,30,3,2019-02-13 10:35:05,5647539677,,21.0,,,,,,,WhatsApp
63,831032,,499,,8,,0,0,3,2012-03-06 17:15:55,7598753378,,4.6,,,,,,,call
64,465986,,999,,15,,90,50,9,2015-02-14 07:21:42,9536758479,,3.5,,,,,,,call
65,816149,,499,,8,,0,0,4,2000-07-10 02:06:13,3667696568,,4.6,,,,,,,WhatsApp
66,307978,,699,,12,,50,30,2,2016-04-02 22:40:30,9368753677,,0.0,,,,,,,WhatsApp
67,711228,,1499,,27,,250,150,4,2008-10-14 03:01:11,8845997954,,15.0,,,,,,,call
68,244470,,499,,8,,0,0,7,2021-12-06 12:58:20,6387487388,,3.5,,,,,,,WhatsApp
69,547629,,999,,15,,90,50,2,2016-12-10 16:48:34,6396797998,,0.0,,,,,,,Email
70,467687,,199,,3,,0,0,5,2017-07-28 06:52:14,9558866868,,5.5,,,,,,,call
71,153455,,499,,8,,0,0,10,2013-04-25 23:46:46,3883378365,,5.5,,,,,,,Email
72,471194,,499,,8,,0,0,4,2017-12-22 07:39:41,6553373943,,0.0,,,,,,,Email
73,974170,,299,,5,,0,0,9,2001-05-17 04:33:29,4469885649,,5.5,,,,,,,call
74,781457,,299,,5,,0,0,8,2009-11-08 09:30:48,7439739366,,3.5,,,,,,,WhatsApp
75,997642,,999,,15,,90,50,10,2000-07-22 01:01:45,6689984945,,0.0,,,,,,,Email
76,227211,,299,,5,,0,0,10,2009-10-05 00:31:33,5364639845,,5.5,,,,,,,WhatsApp
77,430969,,499,,8,,0,0,7,2004-09-13 15:57:59,9758979576,,7.5,,,,,,,WhatsApp
78,999976,,299,,5,,0,0,10,2015-09-27 05:26:17,4995796584,,21.0,,,,,,,Email
79,870829,,1499,,27,,250,150,7,2018-06-06 12:33:13,5854799365,,10.0,,,,,,,call
80,813999,,1499,,27,,250,150,2,2005-05-22 17:05:02,4437947358,,5.5,,,,,,,call
81,878902,,699,,12,,50,30,6,2020-03-21 03:58:42,8439864989,,7.5,,,,,,,call
82,915148,,1499,,27,,250,150,9,2009-12-16 00:05:59,4735463939,,3.5,,,,,,,WhatsApp
83,196955,,1499,,27,,250,150,10,2021-11-28 12:21:30,6875956997,,15.0,,,,,,,Email
84,651632,,999,,15,,90,50,9,2020-11-12 14:33:48,9374698969,,5.5,,,,,,,call
85,606251,,1499,,27,,250,150,3,2003-08-30 10:28:54,6359388784,,10.0,,,,,,,Email
86,864140,,999,,15,,90,50,5,2006-09-08 20:47:58,5346377654,,10.0,,,,,,,WhatsApp
87,855017,,1299,,20,,150,100,6,2020-03-19 10:25:42,3979447493,,3.5,,,,,,,call
88,847938,,1299,,20,,150,100,8,2008-11-18 20:53:05,9559599387,,7.5,,,,,,,Email
89,833799,,199,,3,,0,0,6,2002-06-14 14:27:59,7985983774,,7.5,,,,,,,WhatsApp
90,562435,,1299,,20,,150,100,9,2001-05-18 12:58:27,7834547766,,4.6,,,,,,,call
91,986237,,199,,3,,0,0,8,2019-01-15 05:17:18,4545565496,,7.5,,,,,,,call
92,686587,,699,,12,,50,30,2,2004-09-22 08:19:28,9445585573,,15.0,,,,,,,WhatsApp
93,145498,,999,,15,,90,50,9,2011-12-18 09:26:46,7867648595,,15.0,,,,,,,WhatsApp
94,179597,,1499,,27,,250,150,9,2013-11-08 15:59:40,3837585633,,4.6,,,,,,,WhatsApp
95,312381,,1299,,20,,150,100,2,2003-08-17 18:42:49,3637559958,,7.5,,,,,,,WhatsApp
96,403210,,1299,,20,,150,100,7,2015-04-11 23:01:27,8847485374,,21.0,,,,,,,call
97,625981,,999,,15,,90,50,2,2018-03-31 01:09:27,9693439955,,10.0,,,,,,,WhatsApp
98,562944,,699,,12,,50,30,2,2006-09-07 22:34:02,4653998647,,5.5,,,,,,,Email
99,850674,,1299,,20,,150,100,3,2014-03-25 18:43:27,7998344696,,3.5,,,,,,,WhatsApp
100,590907,,499,,8,,0,0,2,2020-08-24 10:54:46,7693834699,,7.5,,,,,,,Email
101,604727,,1299,,20,,150,100,5,2009-06-14 12:29:11,4394935389,,15.0,,,,,,,Email
102,835007,,1499,,27,,250,150,5,2001-08-29 07:56:27,6946547375,,3.5,,,,,,,Email
103,966806,,699,,12,,50,30,8,2005-11-22 15:37:07,6595843833,,7.5,,,,,,,Email
104,131625,,1299,,20,,150,100,2,2008-06-14 19:28:05,8499784777,,0.0,,,,,,,WhatsApp
105,525684,,999,,15,,90,50,8,2012-05-19 07:35:50,4983834455,,7.5,,,,,,,Email
106,997258,,499,,8,,0,0,3,2003-11-02 17:00:23,7476638543,,10.0,,,,,,,WhatsApp
107,936176,,999,,15,,90,50,2,2010-04-14 06:16:13,3938898533,,4.6,,,,,,,Email
108,880967,,1299,,20,,150,100,8,2002-08-04 21:30:23,5488569688,,7.5,,,,,,,call
109,791927,,1499,,27,,250,150,10,2017-09-14 11:16:34,3774593999,,10.0,,,,,,,Email
110,223582,,1499,,27,,250,150,10,2021-06-20 03:37:29,4837637586,,3.5,,,,,,,Email
111,543944,,1499,,27,,250,150,6,2008-11-28 11:39:03,8539957494,,10.0,,,,,,,Email
112,872363,,199,,3,,0,0,2,2011-11-17 18:58:49,8893848533,,15.0,,,,,,,call
113,400391,,1299,,20,,150,100,8,2006-09-09 14:45:42,9654446838,,10.0,,,,,,,Email
114,257248,,199,,3,,0,0,3,2020-11-08 13:45:53,4893839558,,4.6,,,,,,,Email
115,965310,,1499,,27,,250,150,9,2020-02-19 20:31:32,9854393949,,10.0,,,,,,,call
116,535276,,1299,,20,,150,100,1,2000-01-17 15:23:30,4743936488,,15.0,,,,,,,WhatsApp
117,362009,,699,,12,,50,30,9,2018-12-10 12:15:30,6766983488,,4.6,,,,,,,Email
118,853440,,299,,5,,0,0,3,2006-03-30 20:52:38,6999847977,,15.0,,,,,,,Email
119,405130,,1499,,27,,250,150,7,2012-10-05 02:27:32,8683574836,,0.0,,,,,,,Email
120,367890,,299,,5,,0,0,10,2009-07-03 13:33:47,6989363938,,21.0,,,,,,,Email
121,795338,,1499,,27,,250,150,8,2003-10-12 10:29:11,7468688455,,10.0,,,,,,,WhatsApp
122,904955,,199,,3,,0,0,1,2006-11-10 00:48:20,9944657353,,3.5,,,,,,,Email
123,229855,,999,,15,,90,50,2,2010-12-28 04:24:53,9986985364,,4.6,,,,,,,WhatsApp
124,494621,,499,,8,,0,0,8,2014-07-01 07:55:56,6475657385,,15.0,,,,,,,call
125,305151,,1299,,20,,150,100,9,2008-07-16 18:06:41,7844679665,,5.5,,,,,,,call
126,175306,,499,,8,,0,0,2,2019-03-14 06:53:46,6754689469,,7.5,,,,,,,call
127,603100,,299,,5,,0,0,8,2017-11-22 05:23:41,3989874733,,21.0,,,,,,,Email
128,221394,,199,,3,,0,0,5,2010-06-26 06:06:23,8535855499,,7.5,,,,,,,call
129,515182,,1299,,20,,150,100,6,2003-03-07 16:26:50,4944465538,,0.0,,,,,,,call
130,527628,,1299,,20,,150,100,1,2009-04-21 00:44:58,3455363745,,21.0,,,,,,,Email
131,175255,,1499,,27,,250,150,1,2010-07-25 18:58:37,6665354396,,0.0,,,,,,,WhatsApp
132,392054,,1499,,27,,250,150,8,2006-11-22 01:12:42,9867773664,,4.6,,,,,,,WhatsApp
133,390113,,999,,15,,90,50,6,2000-02-14 11:38:41,7333767683,,4.6,,,,,,,Email
134,919971,,199,,3,,0,0,6,2002-09-23 03:06:18,8568383443,,3.5,,,,,,,Email
135,759813,,1499,,27,,250,150,5,2011-09-19 02:15:39,9883398458,,5.5,,,,,,,call
136,132713,,299,,5,,0,0,6,2001-11-12 15:59:50,8755845997,,21.0,,,,,,,WhatsApp
137,712147,,1499,,27,,250,150,7,2001-12-10 23:39:24,3553879687,,15.0,,,,,,,Email
138,148755,,499,,8,,0,0,9,2003-03-16 22:14:43,9966365847,,21.0,,,,,,,WhatsApp
139,819052,,1499,,27,,250,150,2,2018-10-06 17:24:34,7583683595,,3.5,,,,,,,call
140,788525,,699,,12,,50,30,1,2011-09-02 01:41:46,3547956585,,0.0,,,,,,,call
141,421673,,1299,,20,,150,100,1,2008-02-22 20:08:04,9567694384,,21.0,,,,,,,Email
142,704731,,999,,15,,90,50,6,2019-08-09 11:57:52,3948898868,,0.0,,,,,,,Email
143,405277,,299,,5,,0,0,5,2020-01-20 12:21:23,3933654957,,5.5,,,,,,,Email
144,799270,,499,,8,,0,0,10,2014-04-05 21:25:29,6648783368,,3.5,,,,,,,WhatsApp
145,876770,,999,,15,,90,50,5,2003-05-18 21:24:51,3468386645,,21.0,,,,,,,Email
146,895643,,999,,15,,90,50,9,2007-07-16 22:52:35,7436659953,,10.0,,,,,,,call
147,886193,,999,,15,,90,50,6,2021-11-08 11:41:58,5797593775,,3.5,,,,,,,Email
148,961323,,999,,15,,90,50,6,2010-01-11 00:17:04,5767998393,,15.0,,,,,,,Email
149,133370,,1299,,20,,150,100,9,2002-10-11 19:04:12,5365697976,,10.0,,,,,,,WhatsApp
150,843529,,1499,,27,,250,150,2,2006-10-17 18:39:55,3798999673,,3.5,,,,,,,WhatsApp
151,182349,,999,,15,,90,50,10,2016-02-14 22:54:31,9875953786,,3.5,,,,,,,WhatsApp
152,890757,,299,,5,,0,0,3,2003-06-10 10:31:45,6867956686,,0.0,,,,,,,WhatsApp
153,510714,,499,,8,,0,0,7,2005-08-12 01:43:27,8554477577,,15.0,,,,,,,Email
154,559188,,699,,12,,50,30,1,2003-05-17 12:16:58,5677598946,,10.0,,,,,,,Email
155,945727,,1299,,20,,150,100,7,2001-09-06 22:09:06,9863588868,,10.0,,,,,,,WhatsApp
156,969899,,299,,5,,0,0,6,2010-07-18 19:54:41,6393698699,,15.0,,,,,,,Email
157,667422,,1499,,27,,250,150,1,2010-08-23 03:03:56,3458595557,,3.5,,,,,,,Email
158,211730,,299,,5,,0,0,7,2014-08-01 04:59:54,5933995764,,7.5,,,,,,,WhatsApp
159,172591,,299,,5,,0,0,2,2020-02-20 06:54:50,5736757886,,10.0,,,,,,,Email
160,286144,,1299,,20,,150,100,8,2011-07-05 11:45:49,7446753399,,3.5,,,,,,,call
161,739577,,499,,8,,0,0,10,2010-10-30 02:50:17,5734699545,,7.5,,,,,,,WhatsApp
162,459574,,199,,3,,0,0,4,2007-03-13 13:42:29,6773567683,,15.0,,,,,,,Email
163,446492,,1499,,27,,250,150,10,2004-01-11 17:21:15,7953395589,,5.5,,,,,,,call
164,271476,,299,,5,,0,0,2,2007-01-11 04:10:51,4585595386,,10.0,,,,,,,call
165,202767,,499,,8,,0,0,7,2001-12-13 19:36:06,8658378486,,4.6,,,,,,,call
166,627957,,1499,,27,,250,150,7,2002-07-08 04:04:37,8398869797,,7.5,,,,,,,WhatsApp
167,781035,,1499,,27,,250,150,10,2003-12-11 23:30:46,4534678898,,5.5,,,,,,,call
168,107043,,699,,12,,50,30,1,2020-09-03 23:25:52,5686656545,,15.0,,,,,,,call
169,817206,,1499,,27,,250,150,6,2019-12-27 21:28:21,6676643494,,7.5,,,,,,,call
170,816203,,199,,3,,0,0,3,2009-12-27 07:03:39,7993377675,,21.0,,,,,,,call
171,320376,,699,,12,,50,30,9,2011-11-27 05:38:34,6989366786,,3.5,,,,,,,call
172,965076,,699,,12,,50,30,5,2020-11-19 19:24:53,3588833389,,0.0,,,,,,,call
173,902374,,699,,12,,50,30,7,2006-08-14 18:53:41,4944868538,,3.5,,,,,,,call
174,202536,,1299,,20,,150,100,9,2000-06-09 12:43:42,3537778944,,0.0,,,,,,,WhatsApp
175,140200,,299,,5,,0,0,8,2008-03-01 21:20:07,5596745789,,0.0,,,,,,,call
176,119558,,199,,3,,0,0,7,2004-09-02 12:32:21,5866343393,,10.0,,,,,,,WhatsApp
177,458034,,299,,5,,0,0,10,2006-09-22 15:40:12,4995657673,,10.0,,,,,,,WhatsApp
178,549322,,999,,15,,90,50,10,2008-10-18 20:04:15,8797697999,,3.5,,,,,,,WhatsApp
179,113642,,1299,,20,,150,100,2,2001-12-18 17:39:10,3464975458,,4.6,,,,,,,WhatsApp
180,683076,,299,,5,,0,0,7,2011-04-06 14:46:17,8645579836,,5.5,,,,,,,WhatsApp
181,774982,,699,,12,,50,30,10,2011-05-08 23:10:57,5436366459,,7.5,,,,,,,Email
182,353856,,699,,12,,50,30,8,2004-06-04 14:54:46,5833348664,,15.0,,,,,,,call
183,514099,,199,,3,,0,0,3,2008-03-06 03:10:38,9848893856,,0.0,,,,,,,Email
184,154393,,299,,5,,0,0,8,2019-03-15 14:11:45,4555459953,,4.6,,,,,,,call
185,368756,,699,,12,,50,30,6,2007-07-03 05:12:01,3844899687,,7.5,,,,,,,Email
186,465188,,699,,12,,50,30,3,2003-11-01 02:58:18,9868688775,,10.0,,,,,,,call
187,313555,,499,,8,,0,0,7,2010-03-05 22:25:19,4983633366,,0.0,,,,,,,Email
188,874655,,499,,8,,0,0,3,2013-10-20 07:02:21,5546833654,,4.6,,,,,,,WhatsApp
189,263154,,699,,12,,50,30,9,2010-02-21 05:16:16,6765583357,,4.6,,,,,,,WhatsApp
190,606683,,1499,,27,,250,150,9,2016-10-27 06:44:28,3883788569,,4.6,,,,,,,Email
191,268080,,499,,8,,0,0,5,2005-09-16 15:54:26,9335565364,,3.5,,,,,,,call
192,186645,,199,,3,,0,0,10,2010-12-04 05:24:33,4699383965,,3.5,,,,,,,call
193,552232,,499,,8,,0,0,8,2020-04-04 08:42:12,8447875487,,21.0,,,,,,,call
194,906286,,1499,,27,,250,150,3,2001-12-27 03:12:48,8647785756,,0.0,,,,,,,WhatsApp
195,754598,,699,,12,,50,30,8,2003-05-22 18:35:37,6775347687,,3.5,,,,,,,WhatsApp
196,855058,,1499,,27,,250,150,7,2015-05-24 20:46:28,4758947556,,3.5,,,,,,,call
197,651227,,299,,5,,0,0,10,2012-11-15 10:31:07,8834358336,,5.5,,,,,,,Email
198,591937,,299,,5,,0,0,2,2019-09-20 07:29:21,8798555657,,4.6,,,,,,,WhatsApp
199,942266,,1499,,27,,250,150,6,2018-03-29 23:06:46,7445487534,,3.5,,,,,,,Email
200,586953,,299,,5,,0,0,1,2001-09-05 21:07:59,8664934885,,4.6,,,,,,,call
201,736279,,199,,3,,0,0,10,2016-11-23 17:21:24,4987493944,,7.5,,,,,,,WhatsApp
202,825339,,299,,5,,0,0,1,2006-09-04 18:51:41,8373465787,,10.0,,,,,,,WhatsApp
203,214127,,299,,5,,0,0,8,2006-02-15 21:35:15,5783635599,,0.0,,,,,,,WhatsApp
204,974578,,299,,5,,0,0,5,2000-10-08 06:07:25,7785954658,,21.0,,,,,,,WhatsApp
205,777817,,1499,,27,,250,150,6,2012-04-26 12:55:13,4537768593,,3.5,,,,,,,call
206,404992,,1299,,20,,150,100,5,2009-12-29 07:02:48,3674773678,,15.0,,,,,,,call
207,338060,,699,,12,,50,30,9,2013-11-02 17:08:49,6733889967,,10.0,,,,,,,call
208,856551,,299,,5,,0,0,8,2002-03-10 05:12:56,5785885769,,4.6,,,,,,,Email
209,542444,,1299,,20,,150,100,1,2005-09-14 04:00:43,3399564494,,4.6,,,,,,,WhatsApp
210,794677,,999,,15,,90,50,1,2018-11-19 21:33:24,5579765369,,21.0,,,,,,,WhatsApp
211,342048,,699,,12,,50,30,4,2016-03-14 15:01:14,7456679736,,7.5,,,,,,,call
212,729314,,699,,12,,50,30,3,2017-04-13 23:04:13,7889354494,,3.5,,,,,,,Email
213,677699,,299,,5,,0,0,6,2011-03-10 18:11:28,3474973879,,5.5,,,,,,,WhatsApp
214,974006,,299,,5,,0,0,8,2021-07-17 18:31:57,6457857544,,3.5,,,,,,,WhatsApp
215,214657,,999,,15,,90,50,8,2003-07-24 15:40:46,6567989356,,5.5,,,,,,,WhatsApp
216,538292,,199,,3,,0,0,7,2004-09-01 08:30:12,5595939364,,3.5,,,,,,,call
217,180710,,1499,,27,,250,150,1,2010-10-03 16:19:51,3463669347,,10.0,,,,,,,Email
218,105828,,699,,12,,50,30,6,2004-12-25 21:41:39,3745768638,,3.5,,,,,,,call
219,563105,,499,,8,,0,0,10,2013-02-16 03:42:02,4665554653,,21.0,,,,,,,Email
220,950669,,999,,15,,90,50,8,2020-05-07 18:33:58,4485644596,,21.0,,,,,,,Email
221,178979,,699,,12,,50,30,9,2000-05-28 11:10:33,7484755877,,15.0,,,,,,,call
222,614818,,699,,12,,50,30,7,2012-08-17 14:01:07,7789977846,,4.6,,,,,,,Email
223,226360,,999,,15,,90,50,10,2016-10-08 00:24:04,5443878698,,21.0,,,,,,,WhatsApp
224,345872,,199,,3,,0,0,1,2019-07-08 20:56:51,8959348645,,0.0,,,,,,,call
225,677604,,299,,5,,0,0,4,2003-06-23 05:06:57,6943457344,,10.0,,,,,,,call
226,972980,,1499,,27,,250,150,4,2001-06-04 04:48:37,4798753666,,10.0,,,,,,,WhatsApp
227,580303,,299,,5,,0,0,1,2016-02-17 00:09:12,4643453968,,10.0,,,,,,,Email
228,422381,,1499,,27,,250,150,3,2018-05-15 17:24:06,7338577736,,7.5,,,,,,,call
229,743060,,1299,,20,,150,100,8,2014-05-13 08:20:03,6445994484,,21.0,,,,,,,Email
230,556293,,1299,,20,,150,100,8,2007-10-27 02:29:16,9768957685,,0.0,,,,,,,Email
231,298386,,1499,,27,,250,150,10,2006-10-08 19:47:24,3645535948,,4.6,,,,,,,WhatsApp
232,763160,,699,,12,,50,30,2,2005-10-28 13:39:18,4438967646,,4.6,,,,,,,call
233,665877,,699,,12,,50,30,5,2002-12-22 09:01:17,3356348867,,15.0,,,,,,,WhatsApp
234,935736,,299,,5,,0,0,10,2002-06-12 02:28:41,9477933997,,4.6,,,,,,,WhatsApp
235,853388,,1499,,27,,250,150,1,2005-02-18 07:04:57,6585473399,,10.0,,,,,,,call
236,768042,,199,,3,,0,0,9,2004-12-30 22:02:59,3373859497,,3.5,,,,,,,WhatsApp
237,543760,,999,,15,,90,50,5,2004-02-09 08:00:04,6533943749,,10.0,,,,,,,WhatsApp
238,648241,,299,,5,,0,0,3,2000-07-09 07:54:30,6869655443,,4.6,,,,,,,call
239,755004,,1299,,20,,150,100,5,2008-01-16 14:07:15,8543865845,,21.0,,,,,,,Email
240,773162,,499,,8,,0,0,2,2005-06-14 21:59:38,7658769835,,3.5,,,,,,,Email
241,332040,,499,,8,,0,0,2,2016-09-24 20:09:51,5347477956,,15.0,,,,,,,call
242,119051,,199,,3,,0,0,10,2019-06-12 23:37:14,8744949874,,5.5,,,,,,,call
243,143359,,1499,,27,,250,150,2,2002-08-01 22:45:20,8884934737,,10.0,,,,,,,Email
244,958115,,1299,,20,,150,100,6,2018-10-03 00:12:45,5765978656,,15.0,,,,,,,call
245,656089,,699,,12,,50,30,5,2000-11-26 11:55:50,5754736867,,3.5,,,,,,,call
246,921819,,1499,,27,,250,150,2,2012-02-24 01:58:58,9367395966,,3.5,,,,,,,Email
247,635772,,699,,12,,50,30,6,2006-01-29 05:52:12,6696976379,,10.0,,,,,,,call
248,261144,,999,,15,,90,50,2,2017-10-02 01:32:51,9947344653,,15.0,,,,,,,WhatsApp
249,799923,,199,,3,,0,0,3,2009-10-05 22:31:01,7349748954,,21.0,,,,,,,call
250,586592,,299,,5,,0,0,6,2020-01-06 13:24:05,5573477695,,0.0,,,,,,,call
251,168279,,699,,12,,50,30,8,2016-05-26 21:17:38,3636883949,,4.6,,,,,,,WhatsApp
252,986859,,299,,5,,0,0,8,2014-10-01 02:39:19,8579948789,,5.5,,,,,,,Email
253,450128,,1499,,27,,250,150,7,2010-12-06 01:07:46,3798735538,,3.5,,,,,,,WhatsApp
254,228505,,699,,12,,50,30,10,2009-02-06 11:26:33,7493484977,,5.5,,,,,,,WhatsApp
255,477947,,999,,15,,90,50,1,2000-06-11 21:04:27,4664845973,,10.0,,,,,,,call
256,546809,,699,,12,,50,30,5,2008-11-12 15:43:26,9983543845,,3.5,,,,,,,Email
257,254122,,299,,5,,0,0,5,2018-08-01 05:24:21,4757593735,,0.0,,,,,,,call
258,135093,,999,,15,,90,50,2,2006-10-28 20:46:58,6369449443,,10.0,,,,,,,WhatsApp
259,321524,,499,,8,,0,0,2,2016-09-21 02:15:50,3556899955,,10.0,,,,,,,WhatsApp
260,473422,,299,,5,,0,0,7,2004-12-25 11:45:19,7499769749,,3.5,,,,,,,Email
261,505664,,999,,15,,90,50,4,2001-10-19 20:22:31,9569848644,,5.5,,,,,,,call
262,903785,,499,,8,,0,0,10,2003-09-08 20:56:45,4576695559,,15.0,,,,,,,WhatsApp
263,650448,,1299,,20,,150,100,8,2007-09-10 05:51:07,4869588377,,7.5,,,,,,,WhatsApp
264,997991,,199,,3,,0,0,4,2014-05-13 06:01:25,3857857345,,3.5,,,,,,,WhatsApp
265,928239,,1299,,20,,150,100,1,2021-07-31 15:35:05,6534397539,,7.5,,,,,,,call
266,620029,,1299,,20,,150,100,3,2018-02-19 15:37:07,3645583344,,0.0,,,,,,,WhatsApp
267,711640,,1299,,20,,150,100,5,2001-03-15 04:39:06,4753733448,,21.0,,,,,,,call
268,560206,,699,,12,,50,30,3,2003-04-26 01:04:15,3865458887,,3.5,,,,,,,Email
